Date,AAPL,GOOG,IBM,MSFT
2006-10-02,,,,
2006-10-03,,,,
2006-10-04,,,,
2006-10-05,,,,
2006-10-06,,,,
2006-10-09,,,,
2006-10-10,,,,
2006-10-11,,,,
2006-10-12,,,,
2006-10-13,,,,
2006-10-16,,,,
2006-10-17,,,,
2006-10-18,,,,
2006-10-19,,,,
2006-10-20,,,,
2006-10-23,,,,
2006-10-24,,,,
2006-10-25,,,,
2006-10-26,,,,
2006-10-27,,,,
2006-10-30,,,,
2006-10-31,,,,
2006-11-01,,,,
2006-11-02,,,,
2006-11-03,,,,
2006-11-06,,,,
2006-11-07,,,,
2006-11-08,,,,
2006-11-09,,,,
2006-11-10,,,,
2006-11-13,,,,
2006-11-14,,,,
2006-11-15,,,,
2006-11-16,,,,
2006-11-17,,,,
2006-11-20,,,,
2006-11-21,,,,
2006-11-22,,,,
2006-11-24,,,,
2006-11-27,,,,
2006-11-28,,,,
2006-11-29,,,,
2006-11-30,,,,
2006-12-01,,,,
2006-12-04,,,,
2006-12-05,,,,
2006-12-06,,,,
2006-12-07,,,,
2006-12-08,,,,
2006-12-11,,,,
2006-12-12,,,,
2006-12-13,,,,
2006-12-14,,,,
2006-12-15,,,,
2006-12-18,,,,
2006-12-19,,,,
2006-12-20,,,,
2006-12-21,,,,
2006-12-22,,,,
2006-12-26,,,,
2006-12-27,,,,
2006-12-28,,,,
2006-12-29,,,,
2007-01-03,,,,
2007-01-04,,,,
2007-01-05,,,,
2007-01-08,,,,
2007-01-09,,,,
2007-01-10,,,,
2007-01-11,,,,
2007-01-12,,,,
2007-01-16,,,,
2007-01-17,,,,
2007-01-18,,,,
2007-01-19,,,,
2007-01-22,0.18703372505363117,,0.08109362233063908,0.07313601891203497
2007-01-23,0.18718306328525378,,0.08097823946495063,0.07313158795411796
2007-01-24,0.18677394036709177,,0.07947511268367047,0.07120414331816476
2007-01-25,0.1866784744426463,,0.07935969569634553,0.07452675616245438
2007-01-26,0.1867964069197023,,0.0794100745950517,0.0745526712038872
2007-01-29,0.18681851801590266,,0.07950186857078419,0.0743342583189883
2007-01-30,0.1864712486399748,,0.07974386346889652,0.07435490312167513
2007-01-31,0.18619276248866978,,0.07983919559624632,0.07485135153682754
2007-02-01,0.18490160276317544,,0.07983394407708423,0.07194635462211611
2007-02-02,0.18484063721793154,,0.07854022932983196,0.07302359511927858
2007-02-05,0.18516091416961203,,0.07902729579479531,0.07571350335016398
2007-02-06,0.1844166230070907,,0.07969184685163273,0.07581308683281894
2007-02-07,0.1857075491400704,,0.07320031906599449,0.0759635666069983
2007-02-08,0.17626795237138412,,0.07319601437990299,0.07559334961244486
2007-02-09,0.17937334664102123,,0.07399706224939238,0.07612600375220661
2007-02-12,0.1794197930127548,,0.07320600969005524,0.07614440831396953
2007-02-13,0.17934813565454993,,0.07329466115863198,0.07607485270005358
2007-02-14,0.17932229053547213,,0.07370544149213493,0.07717232088494379
2007-02-15,0.17924574486605405,,0.07368633641436068,0.07718129524389797
2007-02-16,0.1778925300743258,,0.07303334119318512,0.08115261191346611
2007-02-20,0.17827391796753128,,0.07274138490493005,0.0809461937005118
2007-02-21,0.18201718496144983,,0.07240045176657009,0.0826637456139656
